"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 21:08:03 GMT 2022","Tue Sep 20 21:08:07 GMT 2022","3758","","US0003 - Funcionalidade: perfil","","","","Deve dar erro ao não inserir url de perfil invalida",""
"passed","Tue Sep 20 21:07:05 GMT 2022","Tue Sep 20 21:07:26 GMT 2022","21018","","US0003 - Funcionalidade: perfil","","","","Deve cadastrar as informações do perfil com sucesso",""
"passed","Tue Sep 20 21:07:26 GMT 2022","Tue Sep 20 21:07:45 GMT 2022","19375","","US0003 - Funcionalidade: perfil","","","","Deve dar erro ao não inserir um status",""
"passed","Tue Sep 20 21:07:45 GMT 2022","Tue Sep 20 21:08:03 GMT 2022","17266","","US0003 - Funcionalidade: perfil","","","","Deve dar erro ao não inserir habilidades",""
